righthandX,righthandY,righthandZ,headX,headY,headZ,lefthandX,lefthandY,lefthandZ
0.220051841,0.946817381,0.234763785,-0.002136075,0.965213016,0.261456059,-0.258826134,0.917166691,0.303008734
0.191053533,0.951515861,0.241072838,-0.004573116,0.960489101,0.278280028,-0.260807349,0.913413441,0.31249866
0.206696875,0.94689136,0.246319211,-0.00123619,0.957044125,0.289939673,-0.252662818,0.910620767,0.327003545
0.200883468,0.947656496,0.248179367,-0.016693537,0.951433632,0.307400992,-0.255799346,0.905129116,0.339570284
0.217343118,0.949751068,0.225244042,-0.014016658,0.966206987,0.257386076,-0.263246505,0.920664013,0.28823437
0.192777835,0.97402012,0.118833973,-0.15529458,0.967925574,0.197493484,-0.224786688,0.936333297,0.269723753
0.174140037,0.971576141,0.160359126,-0.143812008,0.955149566,0.2588579,-0.242352682,0.913442622,0.326936926
0.195899414,0.961188665,0.194267262,-0.1192537,0.953189991,0.277862189,-0.264206241,0.906900512,0.328217188
0.197566699,0.960599468,0.195489287,-0.093394605,0.968804065,0.22955638,-0.277588109,0.918757558,0.280765725
0.197132339,0.962041358,0.188720072,-0.088091919,0.977516827,0.191574182,-0.289808203,0.923255041,0.252212874
0.212275436,0.953834778,0.21245789,-0.07378972,0.971910665,0.223483191,-0.306477881,0.910048413,0.279075608
0.210846319,0.940504464,0.266449213,-0.064814586,0.952285224,0.298248087,-0.303801737,0.888374925,0.344230297
0.217525362,0.943425346,0.250262529,-0.060427189,0.960906851,0.270197296,-0.31636948,0.893348856,0.319120939
0.231800308,0.939056853,0.253852013,-0.068051382,0.959600639,0.273012129,-0.320782731,0.893939208,0.313003405
0.232156899,0.943535464,0.236313358,-0.075379523,0.96365964,0.256277243,-0.336036032,0.89261656,0.30052531
0.238832783,0.937457242,0.253244586,-0.082822929,0.958647986,0.272276331,-0.345856561,0.883982485,0.314576232
0.233514432,0.940673388,0.246179988,-0.083082885,0.960561227,0.265366472,-0.345711222,0.885149074,0.311439991
0.241513305,0.939089148,0.24450541,-0.078054479,0.961888119,0.262066298,-0.353768584,0.885035653,0.302588303
0.214617118,0.950507717,0.22466547,-0.067092165,0.966634759,0.24721627,-0.373317934,0.880102763,0.293347654
0.236737023,0.948797308,0.209139308,-0.033449158,0.977557613,0.207995832,-0.362816823,0.896358875,0.25476405
0.215689237,0.94374215,0.25065695,-0.027858895,0.95790896,0.28571718,-0.33850553,0.886228199,0.316249245
0.228980366,0.946474096,0.227496763,-0.014914728,0.971951342,0.234708626,-0.34806242,0.899521748,0.264032529
0.240481059,0.939030365,0.245745466,-5.19E-06,0.967516951,0.252806149,-0.338406044,0.898933609,0.278208043
0.252648473,0.93389408,0.253003154,-9.70E-06,0.965254703,0.261310846,-0.341842103,0.895703851,0.284356445
0.264300827,0.92943656,0.257473791,-0.002476963,0.964289674,0.264838233,-0.33407562,0.898296433,0.285406724
0.256097728,0.933218576,0.252025877,-0.010614262,0.966136582,0.257812803,-0.363626019,0.889719419,0.275999048
0.273724836,0.932441565,0.235854704,-0.013055584,0.969062322,0.246470621,-0.375506257,0.88814911,0.264926801
0.30745044,0.920642411,0.240607103,-0.024387953,0.971833004,0.234405291,-0.384455049,0.884523687,0.264219911
0.286970488,0.928195104,0.236858159,-0.038736228,0.967428666,0.250162508,-0.413347156,0.866473534,0.279942393
0.299955464,0.925219325,0.232370222,-0.070291782,0.972861232,0.220454277,-0.422260107,0.864241861,0.273463721
0.305022347,0.922338815,0.237176049,-0.116200723,0.966506798,0.22882745,-0.43864073,0.847459129,0.299010594
0.248604473,0.942434709,0.223635048,-0.176835123,0.960410102,0.215271401,-0.469939128,0.835402922,0.285059947
0.253481678,0.938781295,0.233316779,-0.180128958,0.959650257,0.215928097,-0.467760784,0.836940882,0.284129916
0.226283882,0.946432296,0.23035085,-0.198586155,0.952433225,0.231159019,-0.450101767,0.840185126,0.302485295
